,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location
91,pedestrian,232.0,SWLSANDBOX1,2019-05-22T00:00:00-05:00,2019-05-22,2019,05,22,streetscape
92,pedestrian,96.0,SWLSANDBOX1,2019-05-23T00:00:00-05:00,2019-05-23,2019,05,23,streetscape
93,pedestrian,62.0,SWLSANDBOX1,2019-05-24T00:00:00-05:00,2019-05-24,2019,05,24,streetscape
94,pedestrian,12.0,SWLSANDBOX1,2019-05-25T00:00:00-05:00,2019-05-25,2019,05,25,streetscape
95,pedestrian,12.0,SWLSANDBOX1,2019-05-26T00:00:00-05:00,2019-05-26,2019,05,26,streetscape
96,pedestrian,35.0,SWLSANDBOX1,2019-05-27T00:00:00-05:00,2019-05-27,2019,05,27,streetscape
97,pedestrian,212.0,SWLSANDBOX1,2019-05-28T00:00:00-05:00,2019-05-28,2019,05,28,streetscape
98,pedestrian,158.0,SWLSANDBOX1,2019-05-29T00:00:00-05:00,2019-05-29,2019,05,29,streetscape
99,pedestrian,68.0,SWLSANDBOX1,2019-05-30T00:00:00-05:00,2019-05-30,2019,05,30,streetscape
100,pedestrian,275.0,SWLSANDBOX1,2019-05-31T00:00:00-05:00,2019-05-31,2019,05,31,streetscape
101,pedestrian,0.0,SWLSANDBOX1,2019-06-01T00:00:00-05:00,2019-06-01,2019,06,01,streetscape
102,pedestrian,26.0,SWLSANDBOX1,2019-06-02T00:00:00-05:00,2019-06-02,2019,06,02,streetscape
103,pedestrian,3038.0,SWLSANDBOX1,2019-06-03T00:00:00-05:00,2019-06-03,2019,06,03,streetscape
104,pedestrian,2205.0,SWLSANDBOX1,2019-06-04T00:00:00-05:00,2019-06-04,2019,06,04,streetscape
105,pedestrian,2137.0,SWLSANDBOX1,2019-06-05T00:00:00-05:00,2019-06-05,2019,06,05,streetscape
106,pedestrian,2103.0,SWLSANDBOX1,2019-06-06T00:00:00-05:00,2019-06-06,2019,06,06,streetscape
107,pedestrian,2242.0,SWLSANDBOX1,2019-06-07T00:00:00-05:00,2019-06-07,2019,06,07,streetscape
108,pedestrian,977.0,SWLSANDBOX1,2019-06-08T00:00:00-05:00,2019-06-08,2019,06,08,streetscape
109,pedestrian,240.0,SWLSANDBOX1,2019-06-09T00:00:00-05:00,2019-06-09,2019,06,09,streetscape
110,pedestrian,1512.0,SWLSANDBOX1,2019-06-10T00:00:00-05:00,2019-06-10,2019,06,10,streetscape
111,pedestrian,965.0,SWLSANDBOX1,2019-06-11T00:00:00-05:00,2019-06-11,2019,06,11,streetscape
112,pedestrian,234.0,SWLSANDBOX1,2019-06-12T00:00:00-05:00,2019-06-12,2019,06,12,streetscape
113,pedestrian,242.0,SWLSANDBOX1,2019-06-13T00:00:00-05:00,2019-06-13,2019,06,13,streetscape
114,pedestrian,226.0,SWLSANDBOX1,2019-06-14T00:00:00-05:00,2019-06-14,2019,06,14,streetscape
115,pedestrian,0.0,SWLSANDBOX1,2019-06-15T00:00:00-05:00,2019-06-15,2019,06,15,streetscape
116,pedestrian,20.0,SWLSANDBOX1,2019-06-16T00:00:00-05:00,2019-06-16,2019,06,16,streetscape
117,pedestrian,222.0,SWLSANDBOX1,2019-06-17T00:00:00-05:00,2019-06-17,2019,06,17,streetscape
118,pedestrian,269.0,SWLSANDBOX1,2019-06-18T00:00:00-05:00,2019-06-18,2019,06,18,streetscape
119,pedestrian,1234.0,SWLSANDBOX1,2019-06-19T00:00:00-05:00,2019-06-19,2019,06,19,streetscape
120,pedestrian,1768.0,SWLSANDBOX1,2019-06-20T00:00:00-05:00,2019-06-20,2019,06,20,streetscape
121,pedestrian,2984.0,SWLSANDBOX1,2019-06-21T00:00:00-05:00,2019-06-21,2019,06,21,streetscape
122,pedestrian,819.0,SWLSANDBOX1,2019-06-22T00:00:00-05:00,2019-06-22,2019,06,22,streetscape
123,pedestrian,1868.0,SWLSANDBOX1,2019-06-23T00:00:00-05:00,2019-06-23,2019,06,23,streetscape
124,pedestrian,5513.0,SWLSANDBOX1,2019-06-24T00:00:00-05:00,2019-06-24,2019,06,24,streetscape
