mean_dwell_time,node.pct100,node.pct25,node.pct50,node.pct75,node.serialno,node.time,date,year,month,day,location
35.97,1304.05,3.15,8.34,29.7,SWLSANDBOX1,2019-07-31T00:00:00-05:00,2019-07-31,2019,07,31,streetscape
26.9,714.26,4.14,9.92,26.03,SWLSANDBOX1,2019-08-01T00:00:00-05:00,2019-08-01,2019,08,01,streetscape
12.05,133.75,2.63,5.22,12.44,SWLSANDBOX1,2019-08-02T00:00:00-05:00,2019-08-02,2019,08,02,streetscape
4.48,11.46,1.58,2.61,5.74,SWLSANDBOX1,2019-08-03T00:00:00-05:00,2019-08-03,2019,08,03,streetscape
8.87,84.37,2.13,4.68,9.92,SWLSANDBOX1,2019-08-04T00:00:00-05:00,2019-08-04,2019,08,04,streetscape
4.91,9.35,2.04,6.2,7.28,SWLSANDBOX1,2019-08-05T00:00:00-05:00,2019-08-05,2019,08,05,streetscape
37.26,694.27,4.13,10.39,29.6,SWLSANDBOX1,2019-08-06T00:00:00-05:00,2019-08-06,2019,08,06,streetscape
21.66,413.11,2.63,5.72,17.73,SWLSANDBOX1,2019-08-07T00:00:00-05:00,2019-08-07,2019,08,07,streetscape
35.21,1246.66,3.67,8.96,28.06,SWLSANDBOX1,2019-08-08T00:00:00-05:00,2019-08-08,2019,08,08,streetscape
22.52,426.41,3.16,8.31,19.73,SWLSANDBOX1,2019-08-09T00:00:00-05:00,2019-08-09,2019,08,09,streetscape
7.82,51.05,2.12,4.63,9.88,SWLSANDBOX1,2019-08-10T00:00:00-05:00,2019-08-10,2019,08,10,streetscape
25.43,551.66,3.65,9.34,24.5,SWLSANDBOX1,2019-08-11T00:00:00-05:00,2019-08-11,2019,08,11,streetscape
30.24,1448.4,3.69,10.42,27.12,SWLSANDBOX1,2019-08-12T00:00:00-05:00,2019-08-12,2019,08,12,streetscape
19.54,253.24,3.13,7.31,18.16,SWLSANDBOX1,2019-08-13T00:00:00-05:00,2019-08-13,2019,08,13,streetscape
56.6,8699.22,2.62,5.74,15.12,SWLSANDBOX1,2019-08-14T00:00:00-05:00,2019-08-14,2019,08,14,streetscape
16.99,895.46,2.63,6.29,16.72,SWLSANDBOX1,2019-08-15T00:00:00-05:00,2019-08-15,2019,08,15,streetscape
23.95,10564.71,2.57,5.2,10.95,SWLSANDBOX1,2019-08-16T00:00:00-05:00,2019-08-16,2019,08,16,streetscape
343.66,16873.27,3.65,10.36,36.02,SWLSANDBOX1,2019-08-17T00:00:00-05:00,2019-08-17,2019,08,17,streetscape
26.56,8497.28,3.12,6.77,16.63,SWLSANDBOX1,2019-08-18T00:00:00-05:00,2019-08-18,2019,08,18,streetscape
21.81,615.82,3.08,6.21,14.61,SWLSANDBOX1,2019-08-19T00:00:00-05:00,2019-08-19,2019,08,19,streetscape
26.88,5033.1,3.63,8.31,20.73,SWLSANDBOX1,2019-08-20T00:00:00-05:00,2019-08-20,2019,08,20,streetscape
26.24,1013.94,3.08,6.72,17.68,SWLSANDBOX1,2019-08-21T00:00:00-05:00,2019-08-21,2019,08,21,streetscape
